station_id,longitude,latitude,primary_types,TAZID
1001,113.784724,22.714121,food and beverage services,559
1002,113.785002,22.7259,lifestyle services,558
1003,113.787971,22.735538,lifestyle services,558
1004,113.788126,22.693449,lifestyle services,596
1005,113.788126,22.693449,lifestyle services,596
1006,113.790987,22.731351,lifestyle services,594
1007,113.790987,22.731351,lifestyle services,594
1008,113.791756,22.698816,lifestyle services,596
1009,113.794798,22.716747,business and residential,595
1010,113.794798,22.716747,business and residential,595
1011,113.795042,22.716825,business and residential,595
1012,113.795042,22.716825,business and residential,595
1013,113.796557,22.728199,business and residential,594
1014,113.802875,22.689785,lifestyle services,598
1015,113.804285,22.743436,lifestyle services,587
1016,113.806076,22.673562,lifestyle services,553
1017,113.806362,22.747566,business and residential,587
1018,113.813599,22.77499,lifestyle services,576
1019,113.813758,22.668147,lifestyle services,552
1020,113.813758,22.668147,lifestyle services,552
1021,113.813893,22.732382,lifestyle services,588
1022,113.814009,22.732434,lifestyle services,588
1023,113.814083,22.773128,lifestyle services,576
1024,113.814433,22.773105,business and residential,576
1025,113.814433,22.773105,business and residential,576
1026,113.814433,22.773105,business and residential,576
1027,113.81453,22.73241,lifestyle services,588
1028,113.814955,22.734709,lifestyle services,587
1029,113.81544,22.70772,business and residential,592
1030,113.81544,22.70772,business and residential,592
1031,113.816086,22.735424,lifestyle services,587
1032,113.816457,22.737977,business and residential,587
1033,113.816864,22.732245,food and beverage services,588
1034,113.816864,22.732245,food and beverage services,588
1035,113.816868,22.659092,lifestyle services,552
1036,113.816951,22.732771,lifestyle services,588
1037,113.816951,22.732771,lifestyle services,588
1038,113.816985,22.733921,food and beverage services,587
1039,113.816985,22.733921,food and beverage services,587
1040,113.817222,22.703489,lifestyle services,592
1041,113.819553,22.747975,business and residential,585
1042,113.819783,22.771169,lifestyle services,576
1043,113.822971,22.768229,business and residential,576
1044,113.823965,22.731323,business and residential,584
1045,113.824374,22.647778,food and beverage services,1029
1046,113.824877,22.763476,business and residential,580
1047,113.82565,22.727942,food and beverage services,589
1048,113.82565,22.727942,food and beverage services,589
1049,113.825795,22.733191,business and residential,584
1050,113.826349,22.716272,lifestyle services,589
1051,113.827284,22.672488,business and residential,1028
1052,113.8273,22.752012,business and residential,580
1053,113.82838,22.728282,business and residential,589
1054,113.82838,22.728282,business and residential,589
1055,113.82838,22.728282,business and residential,589
1056,113.828819,22.71482,lifestyle services,589
1057,113.829524,22.771198,lifestyle services,575
1058,113.829739,22.7304,lifestyle services,584
1059,113.829771,22.722116,lifestyle services,589
1060,113.829897,22.732951,lifestyle services,584
1061,113.830914,22.720581,business and residential,589
1062,113.832054,22.713874,business and residential,582
1063,113.832858,22.724242,lifestyle services,589
1064,113.833016,22.722722,lifestyle services,589
1065,113.833452,22.727181,lifestyle services,589
1066,113.833747,22.721038,lifestyle services,589
1067,113.833747,22.721038,lifestyle services,589
1068,113.83419,22.71301,business and residential,582
1069,113.834711,22.641907,lifestyle services,1031
1070,113.834711,22.641907,lifestyle services,1031
1071,113.834988,22.634927,business and residential,1031
1072,113.835707,22.600407,lifestyle services,520
1073,113.837596,22.633479,lifestyle services,1031
1074,113.837761,22.742158,lifestyle services,580
1075,113.83804,22.625504,business and residential,1031
1076,113.838491,22.605773,business and residential,520
1077,113.838491,22.605773,business and residential,520
1078,113.839593,22.671026,lifestyle services,1032
1079,113.840037,22.637503,business and residential,1031
1080,113.840979,22.63656,business and residential,1031
1081,113.841113,22.637101,business and residential,1031
1082,113.841307,22.606709,lifestyle services,522
1083,113.841307,22.606709,lifestyle services,522
1084,113.841443,22.636479,business and residential,1031
1085,113.841816,22.606214,business and residential,522
1086,113.842376,22.637693,business and residential,1031
1087,113.842774,22.7206,business and residential,582
1088,113.84363,22.726903,food and beverage services,582
1089,113.843983,22.595693,lifestyle services,520
1090,113.846998,22.602568,lifestyle services,522
1091,113.846998,22.602568,lifestyle services,522
1092,113.847282,22.609198,food and beverage services,522
1093,113.847831,22.602124,business and residential,519
1094,113.847831,22.602124,business and residential,519
1095,113.848038,22.572502,lifestyle services,527
1096,113.848326,22.572635,lifestyle services,527
1097,113.84901,22.781845,lifestyle services,577
1098,113.84918,22.57424,lifestyle services,527
1099,113.84918,22.57424,lifestyle services,527
1100,113.849604,22.572622,lifestyle services,527
1101,113.850125,22.564051,lifestyle services,503
1102,113.850167,22.593366,lifestyle services,519
1103,113.85186,22.605827,lifestyle services,519
1104,113.852514,22.603132,business and residential,519
1105,113.853058,22.766131,lifestyle services,578
1106,113.853433,22.71356,food and beverage services,601
1107,113.854665,22.611685,business and residential,522
1108,113.854733,22.562281,lifestyle services,503
1109,113.855179,22.611119,business and residential,522
1110,113.855278,22.566642,lifestyle services,526
1111,113.855288,22.607174,business and residential,519
1112,113.855303,22.611936,business and residential,513
1113,113.855363,22.601238,lifestyle services,519
1114,113.855363,22.601238,lifestyle services,519
1115,113.855391,22.57092,lifestyle services,526
1116,113.855772,22.609421,business and residential,522
1117,113.855971,22.611978,lifestyle services,513
1118,113.856007,22.612175,lifestyle services,513
1119,113.856092,22.612233,lifestyle services,513
1120,113.856308,22.730137,business and residential,601
1121,113.856741,22.56679,lifestyle services,526
1122,113.857057,22.61084,business and residential,513
1123,113.85752,22.567721,lifestyle services,526
1124,113.857879,22.568642,food and beverage services,526
1125,113.857964,22.772703,lifestyle services,570
1126,113.858087,22.586088,business and residential,519
1127,113.858206,22.575802,lifestyle services,527
1128,113.85828,22.773103,business and residential,570
1129,113.85835,22.585807,lifestyle services,519
1130,113.858483,22.613352,business and residential,513
1131,113.858895,22.582831,lifestyle services,527
1132,113.858895,22.582831,lifestyle services,527
1133,113.859011,22.765804,business and residential,573
1134,113.859057,22.615196,lifestyle services,529
1135,113.859428,22.612197,lifestyle services,513
1136,113.859444,22.570953,lifestyle services,526
1137,113.859834,22.576519,lifestyle services,526
1138,113.860658,22.601418,business and residential,519
1139,113.860693,22.575073,lifestyle services,526
1140,113.861156,22.612196,lifestyle services,513
1141,113.861193,22.615941,lifestyle services,529
1142,113.861715,22.584554,business and residential,519
1143,113.862252,22.615362,lifestyle services,529
1144,113.86248,22.572367,food and beverage services,526
1145,113.862667,22.583094,lifestyle services,519
1146,113.862667,22.583094,lifestyle services,519
1147,113.863014,22.62068,business and residential,513
1148,113.863634,22.585192,food and beverage services,519
1149,113.863746,22.583958,lifestyle services,519
1150,113.863746,22.583958,lifestyle services,519
1151,113.863889,22.750932,lifestyle services,583
1152,113.864019,22.615153,lifestyle services,513
1153,113.864087,22.613655,lifestyle services,513
1154,113.864171,22.575448,food and beverage services,526
1155,113.864174,22.625239,business and residential,516
1156,113.864174,22.625239,business and residential,516
1157,113.86469,22.781156,business and residential,627
1158,113.86469,22.781156,business and residential,627
1159,113.86469,22.781156,business and residential,627
1160,113.864792,22.572926,food and beverage services,526
1161,113.864927,22.613987,lifestyle services,513
1162,113.865948,22.645428,food and beverage services,1032
1163,113.866441,22.567589,lifestyle services,526
1164,113.866689,22.618444,lifestyle services,513
1165,113.866916,22.617125,lifestyle services,513
1166,113.867031,22.565063,business and residential,526
1167,113.867368,22.558873,business and residential,502
1168,113.867697,22.614744,lifestyle services,513
1169,113.867997,22.614925,lifestyle services,513
1170,113.868041,22.618818,lifestyle services,513
1171,113.868041,22.618818,lifestyle services,513
1172,113.868511,22.585276,business and residential,519
1173,113.868922,22.578733,lifestyle services,528
1174,113.869585,22.575159,lifestyle services,526
1175,113.869808,22.554753,lifestyle services,502
1176,113.87032,22.818918,business and residential,568
1177,113.871624,22.774995,business and residential,631
1178,113.871956,22.565009,lifestyle services,525
1179,113.872893,22.563818,lifestyle services,525
1180,113.872897,22.582368,lifestyle services,528
1181,113.87297,22.58233,lifestyle services,528
1182,113.873174,22.554965,lifestyle services,502
1183,113.874326,22.560145,lifestyle services,525
1184,113.874488,22.555719,lifestyle services,502
1185,113.874745,22.561911,food and beverage services,525
1186,113.875053,22.766308,business and residential,638
1187,113.875174,22.572823,lifestyle services,528
1188,113.876044,22.667544,business and residential,1032
1189,113.876102,22.55507,business and residential,502
1190,113.876173,22.55723,lifestyle services,502
1191,113.876198,22.769367,lifestyle services,631
1192,113.876688,22.583731,lifestyle services,512
1193,113.877582,22.560468,lifestyle services,525
1194,113.877991,22.589083,food and beverage services,512
1195,113.878191,22.553755,lifestyle services,501
1196,113.878549,22.559228,lifestyle services,525
1197,113.879062,22.587126,lifestyle services,512
1198,113.880254,22.547034,lifestyle services,501
1199,113.881923,22.563732,lifestyle services,525
1200,113.88261,22.58015,business and residential,512
1201,113.883162,22.766258,food and beverage services,655
1202,113.883376,22.46557,business and residential,311
1203,113.883397,22.583217,lifestyle services,512
1204,113.883612,22.513823,lifestyle services,1015
1205,113.884043,22.478603,lifestyle services,311
1206,113.885401,22.592395,business and residential,512
1207,113.8859,22.791784,food and beverage services,632
1208,113.886103,22.509264,business and residential,1015
1209,113.886352,22.567454,lifestyle services,1097
1210,113.886492,22.5875,business and residential,512
1211,113.886492,22.5875,business and residential,512
1212,113.886514,22.508678,business and residential,1015
1213,113.886698,22.510958,business and residential,1015
1214,113.887207,22.768778,business and residential,631
1215,113.887207,22.768778,business and residential,631
1216,113.887339,22.588945,business and residential,512
1217,113.88751,22.582992,business and residential,512
1218,113.887706,22.509936,business and residential,1015
1219,113.88807,22.765746,business and residential,655
1220,113.888291,22.489926,business and residential,310
1221,113.888291,22.50086,lifestyle services,309
1222,113.888342,22.549722,lifestyle services,501
1223,113.888424,22.583437,business and residential,512
1224,113.888679,22.734406,business and residential,637
1225,113.889006,22.582289,lifestyle services,508
1226,113.889454,22.55822,lifestyle services,501
1227,113.889517,22.557863,lifestyle services,501
1228,113.889609,22.559026,food and beverage services,1098
1229,113.889665,22.781237,lifestyle services,630
1230,113.88969,22.586028,lifestyle services,512
1231,113.89019,22.569999,lifestyle services,508
1232,113.890581,22.591628,lifestyle services,512
1233,113.890616,22.561747,lifestyle services,1098
1234,113.890783,22.717825,lifestyle services,643
1235,113.890871,22.581447,food and beverage services,508
1236,113.890974,22.581663,business and residential,508
1237,113.891257,22.747052,lifestyle services,638
1238,113.891401,22.563311,lifestyle services,1098
1239,113.891552,22.562918,business and residential,1098
1240,113.891701,22.573339,lifestyle services,508
1241,113.892007,22.498369,business and residential,309
1242,113.892075,22.724006,business and residential,637
1243,113.89208,22.487667,lifestyle services,311
1244,113.89208,22.487667,lifestyle services,311
1245,113.892121,22.576463,lifestyle services,508
1246,113.892155,22.7236,business and residential,637
1247,113.89237,22.48691,lifestyle services,311
1248,113.892424,22.724037,business and residential,637
1249,113.892526,22.730822,lifestyle services,637
1250,113.892546,22.49712,business and residential,309
1251,113.892555,22.730455,business and residential,637
1252,113.892681,22.497826,lifestyle services,309
1253,113.89343,22.484426,lifestyle services,311
1254,113.893699,22.575293,lifestyle services,508
1255,113.893792,22.557794,business and residential,1098
1256,113.893869,22.723424,lifestyle services,643
1257,113.893979,22.578202,business and residential,508
1258,113.894683,22.589161,lifestyle services,511
1259,113.895002,22.492468,lifestyle services,309
1260,113.895179,22.498206,lifestyle services,309
1261,113.895929,22.563381,lifestyle services,1098
1262,113.896128,22.502636,lifestyle services,309
1263,113.896238,22.563403,lifestyle services,1098
1264,113.899427,22.564527,business and residential,506
1265,113.899894,22.67147,lifestyle services,645
1266,113.899904,22.717609,business and residential,643
1267,113.899904,22.717609,business and residential,643
1268,113.900938,22.550857,business and residential,316
1269,113.901823,22.573362,food and beverage services,506
1270,113.903102,22.766764,lifestyle services,633
1271,113.903382,22.766855,business and residential,633
1272,113.903528,22.786988,food and beverage services,632
1273,113.904298,22.569964,business and residential,506
1274,113.904372,22.768992,lifestyle services,633
1275,113.904602,22.573709,lifestyle services,506
1276,113.904779,22.510387,lifestyle services,1067
1277,113.905269,22.786451,business and residential,632
1278,113.905534,22.569345,food and beverage services,506
1279,113.906083,22.573103,lifestyle services,506
1280,113.908087,22.57373,business and residential,506
1281,113.908757,22.555893,business and residential,320
1282,113.908961,22.718273,lifestyle services,640
1283,113.909934,22.513671,business and residential,1067
1284,113.910139,22.514319,lifestyle services,1067
1285,113.910772,22.776858,lifestyle services,629
1286,113.911116,22.594547,lifestyle services,511
1287,113.911335,22.531456,lifestyle services,1095
1288,113.911597,22.532642,lifestyle services,1095
1289,113.911978,22.51569,business and residential,1068
1290,113.91205,22.530845,lifestyle services,1095
1291,113.912084,22.516591,business and residential,1066
1292,113.912133,22.559756,lifestyle services,320
1293,113.912189,22.529525,food and beverage services,1095
1294,113.912663,22.512402,business and residential,1067
1295,113.912693,22.530817,lifestyle services,1095
1296,113.913198,22.492013,business and residential,1082
1297,113.913198,22.492013,business and residential,1082
1298,113.913398,22.525096,lifestyle services,1066
1299,113.9135,22.518234,lifestyle services,1066
1300,113.913595,22.572866,lifestyle services,506
1301,113.913753,22.572331,lifestyle services,506
1302,113.913782,22.523645,lifestyle services,1066
1303,113.91395,22.584374,business and residential,509
1304,113.914255,22.490043,business and residential,1081
1305,113.914417,22.528957,lifestyle services,1096
1306,113.914551,22.479532,business and residential,1081
1307,113.914678,22.513683,lifestyle services,1068
1308,113.914747,22.511467,business and residential,1068
1309,113.914835,22.529224,lifestyle services,1096
1310,113.914917,22.512397,lifestyle services,1068
1311,113.915048,22.515114,lifestyle services,1068
1312,113.915138,22.478934,business and residential,1081
1313,113.915138,22.478934,business and residential,1081
1314,113.915283,22.570783,lifestyle services,320
1315,113.915393,22.524048,business and residential,1066
1316,113.915536,22.511462,lifestyle services,1068
1317,113.915755,22.52505,lifestyle services,1066
1318,113.915928,22.480345,lifestyle services,1081
1319,113.916115,22.501733,lifestyle services,309
1320,113.916163,22.553335,lifestyle services,1075
1321,113.916485,22.497377,lifestyle services,1082
1322,113.917103,22.526818,lifestyle services,1066
1323,113.917463,22.573683,lifestyle services,320
1324,113.917544,22.532962,lifestyle services,1096
1325,113.917778,22.506186,lifestyle services,309
1326,113.917899,22.536825,food and beverage services,1074
1327,113.91798,22.531951,food and beverage services,1096
1328,113.918138,22.526382,lifestyle services,1066
1329,113.918524,22.517326,business and residential,1068
1330,113.918816,22.757591,lifestyle services,633
1331,113.919052,22.552793,lifestyle services,1076
1332,113.919175,22.538244,lifestyle services,1074
1333,113.919356,22.540094,lifestyle services,1074
1334,113.919439,22.526032,business and residential,1068
1335,113.919662,22.522678,lifestyle services,1068
1336,113.919848,22.514157,lifestyle services,1068
1337,113.92004,22.486376,lifestyle services,1083
1338,113.92004,22.486376,lifestyle services,1083
1339,113.92015,22.505631,lifestyle services,1092
1340,113.920228,22.535621,lifestyle services,1074
1341,113.920625,22.554441,lifestyle services,1076
1342,113.920728,22.554594,lifestyle services,1076
1343,113.920728,22.554594,lifestyle services,1076
1344,113.920759,22.512573,lifestyle services,1068
1345,113.920825,22.493997,lifestyle services,1093
1346,113.920836,22.524964,lifestyle services,1068
1347,113.920863,22.513684,food and beverage services,1068
1348,113.92127,22.67241,lifestyle services,649
1349,113.921492,22.516192,lifestyle services,1068
1350,113.921492,22.516192,lifestyle services,1068
1351,113.921713,22.527513,lifestyle services,1096
1352,113.921721,22.528602,food and beverage services,1096
1353,113.922034,22.531533,lifestyle services,1096
1354,113.922767,22.663999,business and residential,649
1355,113.92279,22.519846,lifestyle services,1068
1356,113.922847,22.533784,lifestyle services,1096
1357,113.922874,22.537369,business and residential,1074
1358,113.922874,22.537369,business and residential,1074
1359,113.923038,22.518393,food and beverage services,1085
1360,113.923273,22.765474,lifestyle services,659
1361,113.923676,22.509203,food and beverage services,1088
1362,113.92368,22.693836,food and beverage services,647
1363,113.923788,22.576558,lifestyle services,958
1364,113.923885,22.527438,lifestyle services,1096
1365,113.923943,22.515938,business and residential,1088
1366,113.923972,22.549065,lifestyle services,1076
1367,113.924005,22.573024,business and residential,958
1368,113.924005,22.573024,business and residential,958
1369,113.924017,22.522602,lifestyle services,1085
1370,113.924036,22.51264,lifestyle services,1088
1371,113.924111,22.523311,lifestyle services,1068
1372,113.924145,22.511704,business and residential,1088
1373,113.924843,22.524123,lifestyle services,1085
1374,113.925063,22.536271,lifestyle services,1074
1375,113.925073,22.577021,business and residential,958
1376,113.92523,22.724682,business and residential,641
1377,113.925335,22.546315,lifestyle services,1076
1378,113.925543,22.514911,lifestyle services,1088
1379,113.925543,22.514911,lifestyle services,1088
1380,113.925598,22.511655,food and beverage services,1088
1381,113.925598,22.511655,food and beverage services,1088
1382,113.925693,22.536136,lifestyle services,1074
1383,113.92571,22.524621,lifestyle services,1085
1384,113.925772,22.541289,lifestyle services,1074
1385,113.925772,22.541289,lifestyle services,1074
1386,113.926594,22.529337,lifestyle services,326
1387,113.926702,22.510845,lifestyle services,1088
1388,113.927038,22.545685,lifestyle services,1076
1389,113.927137,22.520885,food and beverage services,1085
1390,113.9273,22.52641,lifestyle services,326
1391,113.927618,22.526743,lifestyle services,326
1392,113.927741,22.542353,business and residential,326
1393,113.927825,22.582072,business and residential,958
1394,113.927825,22.582072,business and residential,958
1395,113.928113,22.515384,lifestyle services,1087
1396,113.928222,22.513089,business and residential,1087
1397,113.92833,22.544127,lifestyle services,324
1398,113.928477,22.51441,lifestyle services,1087
1399,113.928609,22.517165,lifestyle services,1087
1400,113.928799,22.551563,business and residential,1076
1401,113.92893,22.505508,business and residential,1090
1402,113.929134,22.549984,food and beverage services,324
1403,113.929314,22.663549,business and residential,628
1404,113.929314,22.663549,business and residential,628
1405,113.929574,22.520275,food and beverage services,1086
1406,113.929574,22.520275,food and beverage services,1086
1407,113.93005,22.519667,lifestyle services,1086
1408,113.930055,22.718044,lifestyle services,641
1409,113.930231,22.512993,lifestyle services,1087
1410,113.930444,22.526115,business and residential,1071
1411,113.930472,22.54242,business and residential,326
1412,113.930998,22.512933,food and beverage services,1087
1413,113.930999,22.549061,lifestyle services,324
1414,113.931223,22.493366,lifestyle services,1094
1415,113.931272,22.516818,lifestyle services,1087
1416,113.931405,22.494167,business and residential,1094
1417,113.931863,22.512717,lifestyle services,1087
1418,113.932639,22.549004,lifestyle services,324
1419,113.932763,22.479237,lifestyle services,1083
1420,113.932805,22.542201,lifestyle services,326
1421,113.9337,22.543519,lifestyle services,324
1422,113.9337,22.543519,lifestyle services,324
1423,113.933986,22.56042,business and residential,321
1424,113.934828,22.560364,lifestyle services,321
1425,113.935049,22.545405,lifestyle services,324
1426,113.935285,22.545938,lifestyle services,324
1427,113.935285,22.545938,lifestyle services,324
1428,113.935363,22.557731,lifestyle services,321
1429,113.935913,22.519999,business and residential,347
1430,113.935979,22.544466,business and residential,324
1431,113.93615,22.495288,lifestyle services,307
1432,113.936238,22.631763,lifestyle services,346
1433,113.936246,22.494419,lifestyle services,307
1434,113.936386,22.606571,business and residential,346
1435,113.936433,22.543427,lifestyle services,324
1436,113.936525,22.627451,business and residential,346
1437,113.937247,22.630207,lifestyle services,346
1438,113.937247,22.630207,lifestyle services,346
1439,113.93734,22.520385,lifestyle services,347
1440,113.937401,22.520969,lifestyle services,347
1441,113.93798,22.751792,lifestyle services,656
1442,113.938007,22.558819,business and residential,321
1443,113.938292,22.752069,lifestyle services,656
1444,113.938413,22.626858,lifestyle services,346
1445,113.938953,22.506216,lifestyle services,307
1446,113.938953,22.506216,lifestyle services,307
1447,113.93911,22.499241,business and residential,307
1448,113.939111,22.501351,lifestyle services,307
1449,113.939339,22.502577,lifestyle services,307
1450,113.939946,22.540639,business and residential,326
1451,113.94009,22.553153,lifestyle services,324
1452,113.940103,22.503192,lifestyle services,307
1453,113.940834,22.533622,lifestyle services,1071
1454,113.941112,22.526563,business and residential,1072
1455,113.941112,22.526563,business and residential,1072
1456,113.941143,22.526476,business and residential,1072
1457,113.941143,22.526476,business and residential,1072
1458,113.941234,22.500391,lifestyle services,307
1459,113.941249,22.497786,business and residential,307
1460,113.941449,22.500517,lifestyle services,307
1461,113.941527,22.499616,business and residential,307
1462,113.941577,22.519504,lifestyle services,347
1463,113.941856,22.561369,lifestyle services,322
1464,113.941996,22.491271,lifestyle services,307
1465,113.942028,22.494838,business and residential,307
1466,113.942558,22.56701,business and residential,336
1467,113.942789,22.53293,business and residential,1072
1468,113.943023,22.492329,lifestyle services,307
1469,113.943556,22.5029,lifestyle services,307
1470,113.943587,22.51877,business and residential,347
1471,113.944227,22.526603,lifestyle services,1072
1472,113.944887,22.541484,lifestyle services,325
1473,113.945267,22.586323,lifestyle services,339
1474,113.946449,22.534182,lifestyle services,1072
1475,113.946877,22.581589,lifestyle services,958
1476,113.946999,22.530724,lifestyle services,1072
1477,113.947256,22.546191,lifestyle services,323
1478,113.947256,22.546191,lifestyle services,323
1479,113.947264,22.581847,lifestyle services,958
1480,113.949093,22.541131,lifestyle services,325
1481,113.950002,22.768149,business and residential,1060
1482,113.950235,22.520467,lifestyle services,348
1483,113.950512,22.540999,lifestyle services,325
1484,113.950976,22.52246,lifestyle services,348
1485,113.951133,22.557102,business and residential,322
1486,113.95116,22.539155,lifestyle services,325
1487,113.95116,22.539155,lifestyle services,325
1488,113.951557,22.526955,lifestyle services,332
1489,113.951781,22.767148,business and residential,1060
1490,113.952006,22.559674,food and beverage services,322
1491,113.952036,22.526183,lifestyle services,332
1492,113.952245,22.534831,food and beverage services,332
1493,113.95232,22.540945,lifestyle services,325
1494,113.952747,22.569027,lifestyle services,333
1495,113.953011,22.55776,business and residential,322
1496,113.953061,22.536144,lifestyle services,332
1497,113.953061,22.536144,lifestyle services,332
1498,113.953506,22.581056,business and residential,335
1499,113.953506,22.581056,business and residential,335
1500,113.953522,22.53707,business and residential,332
1501,113.953522,22.53707,business and residential,332
1502,113.954281,22.525936,lifestyle services,332
1503,113.955276,22.55933,lifestyle services,332
1504,113.955284,22.578516,lifestyle services,335
1505,113.955618,22.550144,business and residential,332
1506,113.955843,22.550011,lifestyle services,332
1507,113.956389,22.558018,lifestyle services,332
1508,113.956657,22.546952,lifestyle services,332
1509,113.956762,22.55946,lifestyle services,332
1510,113.95699,22.569623,food and beverage services,333
1511,113.957255,22.539254,lifestyle services,332
1512,113.957941,22.580323,business and residential,335
1513,113.958062,22.572305,lifestyle services,335
1514,113.959641,22.569406,business and residential,333
1515,113.959656,22.572429,food and beverage services,335
1516,113.960152,22.58203,lifestyle services,335
1517,113.96036,22.573471,lifestyle services,335
1518,113.960901,22.569655,lifestyle services,333
1519,113.964945,22.528218,lifestyle services,331
1520,113.965021,22.569794,business and residential,335
1521,113.965366,22.526399,lifestyle services,331
1522,113.965995,22.587332,business and residential,340
1523,113.966607,22.538899,lifestyle services,330
1524,113.966607,22.538899,lifestyle services,330
1525,113.96682,22.541494,lifestyle services,328
1526,113.967071,22.549004,business and residential,328
1527,113.967915,22.550914,business and residential,328
1528,113.968027,22.541207,business and residential,328
1529,113.968312,22.565812,business and residential,333
1530,113.97071,22.695126,lifestyle services,651
1531,113.971319,22.581017,lifestyle services,335
1532,113.971962,22.554189,lifestyle services,328
1533,113.972534,22.55878,lifestyle services,328
1534,113.972743,22.54934,lifestyle services,329
1535,113.973854,22.553471,business and residential,328
1536,113.973949,22.550947,lifestyle services,329
1537,113.975109,22.558266,lifestyle services,333
1538,113.975541,22.549257,business and residential,329
1539,113.975574,22.547402,lifestyle services,329
1540,113.976176,22.548838,lifestyle services,329
1541,113.976669,22.538405,lifestyle services,329
1542,113.977615,22.545333,lifestyle services,329
1543,113.977979,22.537978,lifestyle services,329
1544,113.978029,22.539426,lifestyle services,329
1545,113.978043,22.534152,lifestyle services,330
1546,113.978132,22.546132,lifestyle services,329
1547,113.978263,22.546126,lifestyle services,329
1548,113.98015,22.546864,lifestyle services,329
1549,113.98015,22.546864,lifestyle services,329
1550,113.980305,22.548155,lifestyle services,329
1551,113.980717,22.561908,lifestyle services,335
1552,113.980837,22.561607,lifestyle services,335
1553,113.981006,22.5361,lifestyle services,330
1554,113.98208,22.562316,lifestyle services,335
1555,113.983395,22.53531,lifestyle services,330
1556,113.984651,22.560924,business and residential,335
1557,113.984652,22.538141,lifestyle services,329
1558,113.985759,22.556572,business and residential,334
1559,113.986739,22.732779,business and residential,644
1560,113.987595,22.535182,lifestyle services,330
1561,113.98761,22.547235,lifestyle services,329
